AR,96351,115198,111135,125607,170737
KS,93111,110797,109241,126438,179380
GA,97283,108626,93269,110558,163275
MA,316051,397496,357554,425121,637349
AL,161194,218544,187300,241690,359559
VT,184931,255682,264601,310279,423732
MN,151341,165241,164639,221056,298350
IN,121600,127514,126763,161278,230365
OR,206038,279925,215891,311755,424579
VA,219182,282271,254469,301763,401530
SC,234572,310180,248912,302830,448410
GA,153539,174889,149794,194561,305487
AZ,141303,202308,148352,214926,347376
LA,83081,99779,108060,128410,147053
TN,96324,122030,126406,151688,223713
GA,161900,181191,151790,218446,339977
OR,195094,299839,250475,404614,646453
MI,91817,86237,75190,92533,139414
GA,119489,138710,129367,147844,208117
CT,202735,267798,222504,236048,331738
FL,119047,157889,134022,204374,333692
CA,164528,236215,194801,262817,364088
NY,170017,244131,198757,227093,357463
FL,141682,206406,158201,207653,326799
TN,101174,113280,102497,121294,180811
KY,105521,123399,123052,156820,222103
MI,98928,98135,87665,134711,209755
AL,148950,179692,169168,208194,280837
IL,150433,168813,166638,172186,207378
CO,119024,131722,124075,178116,288661
VA,121292,164955,157482,181094,247078
HI,293628,494438,467676,638355,934352
FL,151484,197880,144961,220448,343549
NJ,117169,178630,148205,153666,217017
ID,129249,179266,155076,220554,389468
CO,163682,236394,192777,250030,371477
KY,108214,129148,124419,141895,202219
MI,129715,151997,137112,164746,231462
MI,168972,153439,133925,176453,227200
NH,183859,230181,207190,257610,390136
LA,89319,110281,125083,146327,162570
MI,149266,165471,173693,235474,353231
ME,109334,144530,138032,155365,232842
FL,111471,154352,108194,154730,259289
KY,63120,75831,80165,95879,131946
GA,95380,108251,91959,94771,134685
IA,87814,97856,108329,141942,189032
TX,89443,104161,108069,127177,167327
GA,126860,140678,119318,125529,177342
AZ,191731,297698,250873,356355,564602
NC,92842,106337,97243,111602,169208
GA,94609,110881,102382,139939,207381
TN,103663,128317,124882,159558,236947
VA,161832,229394,196667,242141,332749
WV,64942,86568,92486,109403,133461
WV,126925,158974,159123,181562,214868
CA,410900,530880,454623,679599,877964
OH,84073,90451,87419,110336,160753
MI,91682,91822,78457,106851,158172
